pickup_datetime,passenger_count,trip_distance,total_amount,duration,n_trips
2022-03-06,845509,1118855.3,9109162.06,6773595.666666667,607096
2022-03-13,960643,1260253.09,10348709.82,7693147.35,691579
2022-03-20,931679,1240380.0899999999,10020839.879999999,7464264.666666666,664440
2022-03-27,969437,1288200.4,10368437.91,7627772.966666667,694129
2022-04-03,1006507,1335385.3900000001,10920478.2,8116997.133333334,727112
2022-04-10,1000463,1317885.62,10824619.43,8142629.45,716845
2022-04-17,959277,1277898.55,10203774.61,7650258.95,670920
2022-04-24,978857,1303543.74,10477984.58,7814845.5,690737
2022-05-01,959930,1304546.05,10611585.55,7989340.766666667,695122
2022-05-08,944964,1269641.38,10403581.98,7823212.1,685146
2022-05-15,968604,1310564.26,10781598.08,8233213.416666667,701636
2022-05-22,931904,1259504.28,10449996.92,8150696.966666667,670854
2022-05-29,886971,1189760.22,9689665.75,7378882.066666666,631758
2022-06-05,912300,1216674.54,9891074.98,7515015.0,648969
2022-06-12,973555,1299908.75,10748175.61,8218693.816666666,698668
2022-06-19,964244,1303914.1400000001,10611323.47,8010835.233333333,691311
2022-06-26,928105,1247135.32,10181772.629999999,7692625.116666667,663125
2022-07-03,830470,1113519.04,8891359.29,6536665.133333334,591209
2022-07-10,777585,1048305.96,8143189.26,5882813.016666667,544260
2022-07-17,880558,1185599.82,9536959.64,7112426.766666667,626537
2022-07-24,880649,1168251.11,9501231.91,7108397.916666667,625947
2022-07-31,862663,1158360.2,9325648.78,6965480.2,612718
2022-08-07,852791,1132676.44,9089332.52,6732226.216666667,603068
2022-08-14,828480,1103943.35,8833621.31,6560635.533333333,583014
2022-08-21,820736,1103559.44,8776047.16,6510283.983333333,580680
2022-08-28,826419,1102345.42,8804141.28,6528666.683333334,585462
2022-09-04,812319,1075717.3900000001,8549078.15,6342637.183333334,569144
2022-09-11,857359,1145687.15,9513237.89,7390745.333333333,615148
2022-09-18,731655,1001581.26,8558425.5,6730177.416666666,545364
2022-09-25,815142,1077354.33,9180982.99,7132370.566666666,593737
2022-10-02,898330,1195398.3699999999,9962385.97,7606104.55,650974
2022-10-09,896674,1178708.96,9999565.879999999,7738953.216666667,649907
2022-10-16,922151,1237199.92,10316858.26,8005964.733333333,667161
2022-10-23,957977,1285831.39,10837809.9,8406689.9,698799
2022-10-30,960235,1287138.4,10930701.71,8547886.75,701806
2022-11-06,949918,1263909.96,10689661.51,8326805.383333334,690352
2022-11-13,947792,1260943.01,10746650.73,8425765.9,695020
2022-11-20,714099,929897.99,7924863.58,6157060.433333333,511730
2022-11-27,790897,996126.45,8272860.16,6239655.716666667,550434
2022-12-04,929513,1200872.12,10434919.01,8121408.1,676364
2022-12-11,934364,1212798.25,10684948.42,8436534.583333334,682303
2022-12-18,938103,1211831.43,10659268.98,8334518.833333334,683740
2022-12-25,780643,954133.15,10613183.09,6158254.283333333,552440
2023-01-01,706348,858994.84,9177801.34,5284850.866666667,468091
2023-01-08,748691,969377.74,10285735.73,5723442.5,535102
2023-01-15,841056,1101180.3,12039364.75,6772072.1,616637
2023-01-22,820074,1083003.32,11802516.69,6674248.05,606012
2023-01-29,842481,1111870.24,12317902.56,7011518.699999999,627905
2023-02-05,804422,1060140.0899999999,11755533.96,6667598.133333334,603253
2023-02-12,852696,1140941.49,12546538.61,7201248.783333333,635347
2023-02-19,845431,1111536.71,12291434.040000001,7080807.766666667,621172
2023-02-26,834648,1093389.77,11968688.43,6826978.633333334,611142
2023-03-05,859881,1131678.5,12562938.07,7165795.716666666,639907
2023-03-12,881245,1144450.24,12898628.69,7424628.850000001,652894
2023-03-19,888407,1141164.35,12932598.94,7514384.716666667,652612
2023-03-26,826765,1091546.74,12031000.41,6854304.566666666,610232
2023-04-02,865118,1134583.15,12555592.2,7167062.816666666,635529
2023-04-09,855823,1097436.02,11980594.64,6789525.183333334,610297
2023-04-16,884236,1160341.5,12725608.15,7276812.366666667,639357
2023-04-23,873282,1157274.23,12907098.55,7467813.983333333,646573
2023-04-30,859157,1103937.74,12869075.1,7644575.433333334,639670
2023-05-07,889727,1171295.04,13333417.88,7841640.583333333,662352
2023-05-14,909850,1189510.29,13564542.120000001,8018147.95,672544
2023-05-21,928746,1204063.49,13917629.55,8302778.283333333,684323
2023-05-28,836409,1089205.1300000001,12194190.97,7084534.283333333,609272
2023-06-04,839053,1087975.71,12205323.97,7176374.916666667,610563
2023-06-11,881793,1145092.63,13058224.290000001,7630626.083333334,649867
2023-06-18,878413,1143722.93,12932417.129999999,7549945.566666666,644562
2023-06-25,834503,1078777.79,12189304.41,7099900.833333334,607317
2023-07-02,740575,964064.27,10728516.36,6141505.683333334,541935
2023-07-09,657890,827213.0,8903968.6,5003168.733333333,460500
2023-07-16,782690,1004180.76,11421282.75,6669124.8,571513
2023-07-23,792907,1028515.76,11616077.17,6762582.733333333,580012
2023-07-30,787354,1005606.56,11476697.99,6671832.850000001,575808
2023-08-06,742125,966558.6799999999,10724097.6,6174739.95,539524
2023-08-13,727769,942384.3300000001,10559609.73,6088924.133333333,531864
2023-08-20,714220,932787.9,10299773.02,5889169.216666667,520663
2023-08-27,690882,895043.83,9900901.36,5663857.466666667,503093
2023-09-03,648463,823754.62,9284011.72,5341498.883333334,474149
2023-09-10,774580,941741.78,11635454.86,6986192.833333334,588642
2023-09-17,782870,959974.79,12179688.56,7395936.15,606553
