Unique ID,Indicator ID,Name,Measure,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Data Value,year,month
179772,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,409.0,Southeast Queens,0.3,2015,1
179785,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,209.0,Bensonhurst - Bay Ridge,1.2,2015,1
178540,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,209.0,Bensonhurst - Bay Ridge,8.6,2011,12
178561,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,409.0,Southeast Queens,8.0,2011,12
823217,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,409.0,Southeast Queens,6.1,2022,6
177910,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,209.0,Bensonhurst - Bay Ridge,10.0,2012,6
177952,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,209.0,Bensonhurst - Bay Ridge,9.8,2013,6
177973,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,409.0,Southeast Queens,9.8,2013,6
177931,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,409.0,Southeast Queens,9.6,2012,6
742274,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,410.0,Rockaways,7.2,2021,6
178582,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,209.0,Bensonhurst - Bay Ridge,8.2,2012,12
178583,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,210.0,Coney Island - Sheepshead Bay,8.1,2012,12
547477,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,409.0,Southeast Queens,6.8,2017,1
547417,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,210.0,Coney Island - Sheepshead Bay,6.8,2017,1
177784,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,209.0,Bensonhurst - Bay Ridge,10.6,2009,6
547414,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,209.0,Bensonhurst - Bay Ridge,7.1,2017,1
130413,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,210.0,Coney Island - Sheepshead Bay,0.9,2013,1
130412,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,209.0,Bensonhurst - Bay Ridge,1.7,2013,1
130434,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,410.0,Rockaways,0.0,2013,1
410847,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,410.0,Rockaways,6.9,2016,6
177889,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,409.0,Southeast Queens,10.8,2011,6
177932,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,410.0,Rockaways,9.4,2012,6
410782,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,209.0,Bensonhurst - Bay Ridge,7.1,2015,12
177974,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,410.0,Rockaways,9.5,2013,6
410848,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,410.0,Rockaways,6.0,2015,12
823218,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,409.0,Southeast Queens,6.4,2021,12
176692,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,209.0,Bensonhurst - Bay Ridge,18.6,2012,12
549806,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,209.0,Bensonhurst - Bay Ridge,17.7,2017,1
175369,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,409.0,Southeast Queens,25.7,2010,12
175915,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,409.0,Southeast Queens,16.1,2009,6
549872,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,410.0,Rockaways,12.7,2017,1
741006,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,410.0,Rockaways,11.4,2021,1
175916,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,410.0,Rockaways,8.6,2009,6
336603,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,410.0,Rockaways,20.7,2014,12
178542,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,211.0,Williamsburg - Bushwick,9.7,2011,12
177912,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,211.0,Williamsburg - Bushwick,12.3,2012,6
177954,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,211.0,Williamsburg - Bushwick,12.2,2013,6
334047,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,404.0,Bayside - Little Neck,8.8,2014,12
177772,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,104.0,Pelham - Throgs Neck,10.4,2009,6
742215,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,211.0,Williamsburg - Bushwick,7.2,2021,1
742257,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,404.0,Bayside - Little Neck,6.3,2021,1
178588,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,304.0,Upper West Side,10.4,2012,12
177244,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,304.0,Upper West Side,14.4,2010,12
410828,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,404.0,Bayside - Little Neck,7.4,2015,12
177856,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,104.0,Pelham - Throgs Neck,11.5,2011,6
823275,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,211.0,Williamsburg - Bushwick,7.4,2021,12
177916,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,304.0,Upper West Side,11.4,2012,6
410800,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,304.0,Upper West Side,8.5,2015,12
177958,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,304.0,Upper West Side,11.4,2013,6
605693,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,204.0,East New York,7.1,2018,1
742193,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,204.0,East New York,8.3,2021,6
177905,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,204.0,East New York,9.7,2012,6
175354,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,304.0,Upper West Side,33.7,2010,12
176698,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,304.0,Upper West Side,26.5,2012,12
175364,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,404.0,Bayside - Little Neck,26.2,2010,12
175896,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,211.0,Williamsburg - Bushwick,23.1,2009,6
549854,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,404.0,Bayside - Little Neck,16.6,2017,1
740946,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,211.0,Williamsburg - Bushwick,19.0,2021,1
549824,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,304.0,Upper West Side,23.4,2017,1
176656,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,304.0,Upper West Side,27.1,2011,12
410767,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,204.0,East New York,7.8,2015,12
742214,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,211.0,Williamsburg - Bushwick,9.2,2021,6
